make,model,vehicle_class,engine_size,cylinders,transmission,fuel_type,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb,co2_emissions
ACURA,ILX,COMPACT,2.0,4,AS5,Z,9.9,6.7,8.5,196
ACURA,ILX,COMPACT,2.4,4,M6,Z,11.2,7.7,9.6,221
ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,6.0,5.8,5.9,136
ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Z,12.7,9.1,11.1,255
ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.1,8.7,10.6,244
ACURA,,MID-SIZE,3.5,6,AS6,Z,11.9,7.7,10.0,230
ACURA,,MID-SIZE,3.5,6,AS6,Z,11.8,8.1,10.1,232
ACURA,,MID-SIZE,3.7,6,AS6,Z,12.8,9.0,11.1,255
ACURA,,MID-SIZE,3.7,6,M6,Z,13.4,9.5,11.6,267
ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.6,7.5,9.2,212
ACURA,TSX,COMPACT,2.4,4,M6,Z,11.2,8.1,9.8,225
ACURA,,COMPACT,3.5,6,AS5,Z,12.1,8.3,10.4,239
ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,193
ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,359
ASTON MARTIN,,SUBCOMPACT,5.9,12,A6,Z,18.0,,15.6,359
ASTON MARTIN,,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,338
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,354
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,338
ASTON MARTIN,,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,354
ASTON MARTIN,VANQUISH,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,359
AUDI,A4,COMPACT,2.0,4,AV8,Z,9.9,7.4,8.8,202
AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,230
AUDI,,COMPACT,2.0,4,M6,Z,10.8,7.5,9.3,214
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,11.5,8.1,10.0,230
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,11.5,,10.0,230
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,M6,Z,10.8,7.5,9.3,214
AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS8,Z,12.0,,10.2,235
AUDI,,MID-SIZE,3.0,6,AS8,Z,12.8,8.6,10.9,251
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,D,9.8,6.2,8.1,217
AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS8,Z,13.3,8.5,11.2,262
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,D,9.8,6.2,8.1,217
